CTR,CPC,clicks
0.009978578180452778,1403.0215820995095,108862
0.00933731349692823,1318.0356062340425,93637
0.009312246277859015,1349.4601609888423,91122
0.009446695179064253,1368.1654107243608,92214
0.009356729763751992,1486.6053499027169,91908
0.009307763749533867,1580.2908772373185,93600
0.010610118730258885,1521.2866664020123,82096
0.009466157851977559,1465.3021698745995,84940
0.009427189550021127,1577.0903760937776,104439
0.009255764733680288,1865.2240672571352,118222
0.009511057183759187,2401.123703137113,120162
0.009380255110666128,1748.8229513594035,157109
0.009105787616357832,1720.6999249321075,139718
0.00810992156137089,1153.5949629326733,104554
0.008018835602047174,1115.068896941494,100464
0.00870199131376551,1018.840319987592,102192
0.008546271975828666,983.944152170304,123878
0.00821415074311806,1101.606890719708,124104
0.009309904063786156,983.2776406395902,138864
0.010639285078112055,1001.4755835602089,145578
0.00948405728664507,1047.9061312009171,115539
0.009203747003138345,765.8087055622493,63822
0.009783875128680257,744.8870768828424,65238
0.008855880035496934,786.7017813220901,74308
0.009663994323469715,723.7977031294971,79122
0.007546463396126798,1103.9097499954846,76191
0.007209183089783981,1010.5954972591858,73673
0.00861897153348057,1250.0094674835052,74084
0.008905878246125308,831.7187240502561,78489
0.008760142833299,1799.8724736313675,76385
